time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-10-14T04:05:48.600Z,50.192,12.427,4.6,3.3,ml,24,76.9,,,us,usp000gk7q,2014-11-07T01:37:28.814Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-14T04:01:35.500Z,50.201,12.453,10.3,3.4,ml,21,76.1,,,us,usp000gk7n,2014-11-07T01:37:28.780Z,"Czech Republic",earthquake,,,,,reviewed,grf,gfu
2008-10-13T04:37:25.500Z,50.34,7.45,1,2.6,ml,17,226,,,us,usp000gk4t,2014-11-07T01:37:28.085Z,"Germany",earthquake,,,,,reviewed,str,ldg
2008-10-13T01:46:29.100Z,50.2,12.53,0,2.5,ml,11,195.5,,,us,usp000gk4g,2014-11-07T01:37:28.050Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-13T01:42:47.000Z,50.199,12.423,10,2.9,ml,20,76.7,,,us,usp000gk4f,2014-11-07T01:37:28.047Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-13T00:16:09.200Z,50.21,12.43,10,2.6,ml,18,118.5,,,us,usp000gk4b,2014-11-07T01:37:28.037Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-12T15:09:53.000Z,50.187,12.47,10,3.2,ml,33,112.3,,,us,usp000gk33,2014-11-07T01:37:27.862Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-12T07:56:09.400Z,50.2,12.51,0,2.8,ml,7,191.1,,,us,usp000gk23,2014-11-07T01:37:27.782Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-12T07:44:55.800Z,50.197,12.465,10,4.2,ml,78,65.6,,,us,usp000gk21,2014-11-07T01:37:27.770Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-12T07:35:01.930Z,50.182,12.391,10,2.6,ml,8,110.9,,0.77,us,usp000gk20,2014-11-07T01:37:27.768Z,"Czech Republic",earthquake,,,,,reviewed,us,ldg
