time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-01T21:34:47.810Z,38.8176651,-122.7636642,1.3,1.04,md,20,76,0.01369,0.04,nc,nc72809106,2017-06-01T22:04:03.149Z,"3km W of Cobb, California",earthquake,0.2,0.35,0.22,7,automatic,nc,nc
2017-06-01T21:33:26.340Z,34.2163333,-117.0488333,8.63,1.54,ml,60,49,0.05431,0.12,ci,ci37659535,2017-06-01T22:04:12.340Z,"6km E of Running Springs, CA",earthquake,0.14,0.3,0.167,23,reviewed,ci,ci
2017-06-01T21:19:48.100Z,45.058,-123.082,7.94,1.62,ml,17,97,0.2005,0.55,uw,uw61272197,2017-06-01T21:48:36.930Z,"8km NNW of Keizer, Oregon",earthquake,1.08,41.58,0.212,11,reviewed,uw,uw
2017-06-01T21:19:31.520Z,35.3176667,-118.5366667,8.77,1.35,ml,26,83,0.09836,0.11,ci,ci37659511,2017-06-01T21:54:30.489Z,"22km NNW of Tehachapi, CA",earthquake,0.17,0.42,0.114,19,reviewed,ci,ci
2017-06-01T21:17:26.290Z,61.2421,-147.6542,16.9,1.2,ml,,,,0.74,ak,ak16155141,2017-06-01T21:23:37.489Z,"71km W of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-01T21:17:11.002Z,59.8485,-136.8316,0,1.3,ml,,,,0.88,ak,ak16155138,2017-06-01T21:23:37.267Z,"95km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-01T21:15:10.820Z,33.5491667,-115.8916667,7.49,0.85,ml,15,154,0.0672,0.15,ci,ci37659503,2017-06-02T00:11:41.826Z,"5km ENE of North Shore, CA",earthquake,0.45,0.82,0.181,6,reviewed,ci,ci
2017-06-01T21:06:08.780Z,36.4432,-98.79,4.3,3,mb_lg,,80,0.052,0.29,us,us10008xbv,2017-06-01T21:45:54.909Z,"33km NW of Fairview, Oklahoma",earthquake,1.2,7.3,0.054,89,reviewed,us,us
2017-06-01T21:05:42.953Z,59.7783,-136.6907,0.1,1.6,ml,,,,0.49,ak,ak16155135,2017-06-01T21:10:32.297Z,"85km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-01T21:01:04.147Z,65.4333,-166.7861,15.4,3.8,ml,,,,0.66,ak,ak16155132,2017-06-01T21:25:13.925Z,"97km SSW of Shishmaref, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2017-06-01T20:55:10.182Z,60.1341,-141.7726,18.3,1.1,ml,,,,1.11,ak,ak16155128,2017-06-01T21:01:42.745Z,"37km ENE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-01T20:31:13.883Z,60.0473,-152.6041,100.4,1.5,ml,,,,1.11,ak,ak16155123,2017-06-01T20:36:14.874Z,"49km S of Redoubt Volcano, Alaska",earthquake,,1.1,,,automatic,ak,ak
2017-06-01T20:28:13.207Z,59.8911,-136.7035,1,1.6,ml,,,,0.52,ak,ak16155122,2017-06-01T20:31:17.652Z,"91km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-01T20:11:59.848Z,62.2774,-151.0396,74.9,1.1,ml,,,,0.42,ak,ak16155117,2017-06-01T21:47:06.269Z,"48km W of Talkeetna, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2017-06-01T20:04:10.450Z,-54.3856,158.992,10,5.2,mb,,129,9.581,0.64,us,us10008x9b,2017-06-01T20:23:06.040Z,"11km NNE of Macquarie Island, Australia",earthquake,8.9,1.7,0.113,26,reviewed,us,us
2017-06-01T20:03:36.899Z,65.4953,-166.7172,9.6,3.8,ml,,,,0.76,ak,ak16155111,2017-06-01T20:46:28.473Z,"89km SSW of Shishmaref, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2017-06-01T19:49:43.602Z,38.3723,-118.9111,5.4,0.9,ml,12,126.33,0.326,0.1389,nn,nn00590866,2017-06-01T20:23:32.696Z,"30km SW of Hawthorne, Nevada",earthquake,,3.3,0.26,5,reviewed,nn,nn
2017-06-01T19:38:55.869Z,61.4276,-141.0341,13.2,0.8,ml,,,,0.17,ak,ak16154473,2017-06-01T19:41:45.745Z,"169km NNE of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-06-01T19:38:39.990Z,48.1115,-121.9641667,-1.23,1.03,md,4,150,0.08742,0.26,uw,uw61272172,2017-06-01T19:52:21.500Z,"3km N of Granite Falls, Washington",explosion,1.87,31.61,0.051,2,reviewed,uw,uw
2017-06-01T19:33:36.470Z,35.3211667,-118.5398333,8.34,1.22,ml,22,125,0.1018,0.14,ci,ci37659415,2017-06-01T20:33:14.263Z,"23km NNW of Tehachapi, CA",earthquake,0.23,0.52,0.148,10,reviewed,ci,ci
2017-06-01T19:33:23.455Z,63.1653,-150.1501,87.7,1.4,ml,,,,0.58,ak,ak16154472,2017-06-01T19:38:59.090Z,"65km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-06-01T19:22:18.756Z,39.6633,-119.9681,4,0.4,ml,5,141.11,0.056,0.1049,nn,nn00590861,2017-06-01T19:52:36.615Z,"2km SSE of Cold Springs, Nevada",earthquake,,3.9,0.13,3,reviewed,nn,nn
2017-06-01T19:19:39.870Z,34.1835,-117.5691667,7.03,1.11,ml,45,34,0.06177,0.13,ci,ci37659367,2017-06-01T20:33:10.108Z,"7km N of Rancho Cucamonga, CA",earthquake,0.14,0.26,0.121,25,reviewed,ci,ci
2017-06-01T19:08:41.100Z,34.997,-118.1963333,-0.82,0.95,ml,22,52,0.1194,0.2,ci,ci37659351,2017-06-01T20:32:59.917Z,"6km SSW of Mojave, CA",quarry blast,0.41,31.61,0.075,7,reviewed,ci,ci
2017-06-01T19:07:49.940Z,33.8443333,-117.4883333,-0.51,1.51,ml,43,62,0.04495,0.19,ci,ci37659343,2017-06-01T20:33:15.694Z,"5km SE of Home Gardens, CA",quarry blast,0.26,31.61,0.141,21,reviewed,ci,ci
2017-06-01T19:01:36.263Z,63.479,-151.3434,0,1.5,ml,,,,0.61,ak,ak16154461,2017-06-01T19:19:04.651Z,"119km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-01T19:01:26.235Z,59.6714,-153.1397,119.1,1.6,ml,,,,0.54,ak,ak16154462,2017-06-01T19:19:04.872Z,"74km W of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-06-01T18:56:50.490Z,34.017,-116.7263333,17.49,0.57,ml,18,146,0.06855,0.13,ci,ci37659327,2017-06-01T20:33:12.156Z,"12km NNE of Cabazon, CA",earthquake,0.32,0.66,0.139,10,reviewed,ci,ci
2017-06-01T18:52:43.630Z,37.5645,-118.8398333,-0.83,1.42,md,27,88,0.02687,0.06,nc,nc72809061,2017-06-01T23:47:02.426Z,"14km SE of Mammoth Lakes, California",earthquake,0.24,0.3,0.235,23,reviewed,nc,nc
2017-06-01T18:39:04.784Z,61.1435,-140.5123,6.8,1,ml,,,,0.34,ak,ak16154454,2017-06-01T18:43:51.347Z,"159km NE of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-01T18:33:03.460Z,33.604,-116.8121667,8.25,0.44,ml,24,65,0.03945,0.1,ci,ci37659311,2017-06-01T20:32:39.994Z,"14km WNW of Anza, CA",earthquake,0.19,0.36,0.118,11,reviewed,ci,ci
2017-06-01T18:26:40.410Z,37.2411,-97.9737,6.56,3.3,mb_lg,,87,0.014,0.32,us,us10008x7c,2017-06-01T22:02:55.147Z,"6km SE of Harper, Kansas",earthquake,1.2,3.2,0.072,50,reviewed,us,us
2017-06-01T18:20:18.370Z,35.319,-118.5366667,8.28,1.46,ml,26,114,0.09872,0.13,ci,ci37659295,2017-06-01T20:32:56.184Z,"22km NNW of Tehachapi, CA",earthquake,0.2,0.45,0.236,26,reviewed,ci,ci
2017-06-01T18:11:34.460Z,35.3195,-118.5345,8.79,1.21,ml,14,122,0.09717,0.08,ci,ci37659271,2017-06-01T20:33:11.463Z,"22km NNW of Tehachapi, CA",earthquake,0.18,0.47,0.14,9,reviewed,ci,ci
2017-06-01T18:04:49.530Z,46.0216667,-111.5175,9.64,0.62,ml,14,80,0.25,0.1,mb,mb80212214,2017-06-01T21:26:07.950Z,"14km N of Three Forks, Montana",earthquake,0.35,1.58,0.122,2,reviewed,mb,mb
2017-06-01T18:02:28.042Z,61.3985,-157.4804,5.7,1.3,ml,,,,0.89,ak,ak16154444,2017-06-01T18:06:53.969Z,"150km SE of Holy Cross, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-06-01T18:00:39.854Z,60.8126,-151.8576,83.1,1.3,ml,,,,0.44,ak,ak16154441,2017-06-01T18:05:09.879Z,"33km WNW of Nikiski, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-06-01T17:54:01.024Z,66.8987,-154.0866,0,2.5,ml,,,,0.83,ak,ak16154437,2017-06-01T18:09:43.943Z,"74km WNW of New Allakaket, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-01T17:40:42.006Z,61.1036,-151.4345,61.8,1.7,ml,,,,0.66,ak,ak16154432,2017-06-01T17:47:06.936Z,"46km N of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-01T17:33:27.180Z,38.8183327,-122.7828369,1.29,0.69,md,9,74,0.005338,0.03,nc,nc72809046,2017-06-01T17:41:02.315Z,"5km W of Cobb, California",earthquake,0.38,0.92,0.25,2,automatic,nc,nc
2017-06-01T17:27:37.996Z,38.02,-118.3159,0,0.7,ml,3,327.55,0.275,0.1357,nn,nn00590891,2017-06-01T22:44:55.721Z,"62km SSE of Hawthorne, Nevada",earthquake,,0,0.28,3,reviewed,nn,nn
2017-06-01T17:19:04.068Z,39.6706,-119.9762,3.3,0.5,ml,7,84.88,0.064,0.141,nn,nn00590851,2017-06-01T17:47:59.032Z,"1km S of Cold Springs, Nevada",earthquake,,5.2,0.15,4,reviewed,nn,nn
2017-06-01T17:15:43.640Z,45.0656667,-123.0825,22.31,1.68,ml,17,78,0.1944,0.26,uw,uw61272117,2017-06-01T17:48:47.870Z,"9km NNW of Keizer, Oregon",earthquake,0.44,1.62,0.222,10,reviewed,uw,uw
2017-06-01T17:12:49.110Z,34.5956667,-117.2781667,-1.22,0.98,ml,10,180,0.05497,0.11,ci,ci37659207,2017-06-01T20:33:08.223Z,"7km N of Victorville, CA",quarry blast,0.76,31.61,0.084,6,reviewed,ci,ci
2017-06-01T17:00:49.077Z,39.3796,-119.8281,7.3,0.6,ml,9,102.67,0.05,0.1791,nn,nn00590890,2017-06-01T22:35:38.294Z,"16km S of Reno, Nevada",earthquake,,1.8,0.44,6,reviewed,nn,nn
2017-06-01T17:00:09.560Z,34.1186667,-117.4391667,6.36,0.88,ml,25,89,0.01905,0.14,ci,ci37659199,2017-06-01T20:32:00.512Z,"3km NE of Fontana, CA",earthquake,0.29,0.56,0.223,13,reviewed,ci,ci
2017-06-01T16:57:05.064Z,59.9071,-141.685,2.7,1.4,ml,,,,0.84,ak,ak16153975,2017-06-01T17:01:56.936Z,"45km ESE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-06-01T16:53:20.300Z,35.0613333,-118.3385,-1.01,1.11,ml,19,44,0.07061,0.16,ci,ci37659167,2017-06-01T20:32:01.249Z,"13km SE of Tehachapi, CA",quarry blast,0.33,31.61,0.135,12,reviewed,ci,ci
2017-06-01T16:45:52.084Z,41.8401,-119.6404,9.9,1.3,ml,6,193.91,0.163,0.1774,nn,nn00590889,2017-06-01T22:22:51.527Z,"70km ESE of Lakeview, Oregon",earthquake,,3,0.46,5,reviewed,nn,nn
2017-06-01T16:43:22.590Z,32.3836667,-115.422,19.5,2.46,ml,27,93,0.1052,0.23,ci,ci37659135,2017-06-01T20:32:21.514Z,"21km SSW of Puebla, B.C., MX",earthquake,0.38,0.7,0.229,25,reviewed,ci,ci
2017-06-01T16:35:35.198Z,61.2772,-147.7078,0,1.5,ml,,,,0.99,ak,ak16153973,2017-06-01T16:40:21.588Z,"74km WNW of Valdez, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-06-01T16:34:11.380Z,34.3806667,-117.6436667,9.8,0.62,ml,9,154,0.02861,0.06,ci,ci37659127,2017-06-01T20:32:09.214Z,"2km NNW of Wrightwood, CA",earthquake,0.26,0.43,0.101,7,reviewed,ci,ci
2017-06-01T16:31:04.327Z,59.4219,-153.116,140.2,1.3,ml,,,,0.67,ak,ak16153970,2017-06-01T16:37:35.805Z,"82km WSW of Anchor Point, Alaska",earthquake,,1.5,,,automatic,ak,ak
2017-06-01T16:30:22.070Z,38.8188324,-122.8161697,1.99,0.69,md,11,103,0.00659,0.02,nc,nc72809026,2017-06-01T16:40:02.868Z,"6km NW of The Geysers, California",earthquake,0.48,0.69,0.26,2,automatic,nc,nc
2017-06-01T16:26:06.900Z,37.5611667,-118.8101667,2.09,1.24,md,28,85,0.0325,0.04,nc,nc72809021,2017-06-01T22:55:02.659Z,"17km SE of Mammoth Lakes, California",earthquake,0.19,0.5,0.218,23,reviewed,nc,nc
2017-06-01T16:22:24.800Z,62.0899,-151.2523,110,1.2,ml,,,,0.17,ak,ak16153968,2017-06-01T16:28:36.029Z,"64km WSW of Talkeetna, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-06-01T16:15:29.684Z,41.8452,-119.6395,11.6,2,ml,7,132.98,0.16,0.14,nn,nn00590843,2017-06-01T17:38:21.844Z,"69km ESE of Lakeview, Oregon",earthquake,,2.7,0.48,5,reviewed,nn,nn
2017-06-01T16:13:33.190Z,32.4226667,-115.262,5.07,2.29,ml,22,108,0.0365,0.24,ci,ci37659087,2017-06-01T20:32:50.684Z,"10km NW of Delta, B.C., MX",earthquake,0.31,0.58,0.26,22,reviewed,ci,ci
